lon,lat,centroid,elevation,slope_angle,bearing_angle
-116.74296740373163,34.89933967037894,POINT (-116.74296740373163 34.89933967037894),561.5074462890625,-0.058837776738406226,135.0
-116.78693790411559,35.011952282991544,POINT (-116.78693790411559 35.011952282991544),664.1353759765625,-4.905099866298141,45.0
-116.7924342166636,34.90834867938795,POINT (-116.7924342166636 34.90834867938795),579.55615234375,0.030090332031348112,90.0
-116.88587152997947,34.89483516587443,POINT (-116.88587152997947 34.89483516587443),601.7788696289062,-0.6900037767743075,45.0
-116.7924342166636,34.94888921992849,POINT (-116.7924342166636 34.94888921992849),745.3501586914062,-6.714856771452806,45.0
-116.71548584099168,35.016456787496054,POINT (-116.71548584099168 35.016456787496054),538.5625,-0.1301267001528518,225.0
-116.90236046762345,34.935375706414966,POINT (-116.90236046762345 34.935375706414966),622.9701538085938,-1.8428309008825428,135.0
-116.7924342166636,34.98042075146002,POINT (-116.7924342166636 34.98042075146002),712.5863037109375,-6.616577148480757,90.0
-116.89686415507545,35.02096129200055,POINT (-116.89686415507545 35.02096129200055),928.26953125,-4.7993774414444825,90.0
-116.91335309271942,34.872312643351904,POINT (-116.91335309271942 34.872312643351904),610.06494140625,-3.0367983270942815,225.0
-116.74846371627964,35.034474805514066,POINT (-116.74846371627964 35.034474805514066),524.0731201171875,-2.747197727146413,315.0
-116.78693790411559,35.034474805514066,POINT (-116.78693790411559 35.034474805514066),591.4718627929688,-3.829292117383666,45.0
-116.7924342166636,34.88582615686541,POINT (-116.7924342166636 34.88582615686541),583.25732421875,-1.6005249023397314,180.0
-116.7924342166636,35.04798831902758,POINT (-116.7924342166636 35.04798831902758),559.609375,-3.986335883821345,45.0
-116.75396002882763,35.02997030100957,POINT (-116.75396002882763 35.02997030100957),529.0568237304688,-0.9486102435290877,315.0
-116.7924342166636,34.97591624695551,POINT (-116.7924342166636 34.97591624695551),701.8175659179688,-4.798818809934821,135.0
-116.73747109118364,34.903844174883446,POINT (-116.73747109118364 34.903844174883446),559.709228515625,-0.46697998047212746,90.0
-116.77044896647159,35.011952282991544,POINT (-116.77044896647159 35.011952282991544),592.4525756835938,-10.051574707113822,90.0
-116.83090840449954,35.038979310018576,POINT (-116.83090840449954 35.038979310018576),693.5863037109375,-6.200500488265682,0.0
-116.76495265392359,35.043483814523086,POINT (-116.76495265392359 35.043483814523086),522.2515869140625,-1.1306784698588062,315.0
-116.75396002882763,34.97141174245101,POINT (-116.75396002882763 34.97141174245101),638.0689697265625,-10.400227704524735,45.0
-116.83640471704754,35.02997030100957,POINT (-116.83640471704754 35.02997030100957),762.8795776367188,-12.651025583402916,45.0
-116.81441946685555,35.038979310018576,POINT (-116.81441946685555 35.038979310018576),661.55224609375,-13.364405886000863,45.0
-116.82541209195153,34.99843876947803,POINT (-116.82541209195153 34.99843876947803),1111.671875,-32.108336059339024,225.0
-116.86388627978751,34.88582615686541,POINT (-116.86388627978751 34.88582615686541),595.0568237304688,-0.17254605290593644,135.0
-116.72098215353965,35.016456787496054,POINT (-116.72098215353965 35.016456787496054),540.4332885742188,-1.1462424627562946,45.0
-116.90785678017146,35.02997030100957,POINT (-116.90785678017146 35.02997030100957),977.316162109375,-8.937805175832757,90.0
-116.81991577940354,34.935375706414966,POINT (-116.81991577940354 34.935375706414966),992.2630004882812,-53.961425781114514,180.0
-116.77044896647159,34.89033066136993,POINT (-116.77044896647159 34.89033066136993),577.1863403320312,-0.7108764648478906,270.0
-116.77044896647159,34.97141174245101,POINT (-116.77044896647159 34.97141174245101),629.02392578125,-2.7992553711179426,90.0
